Query,Response
"What is Section 113 of Chapter VII of Qanun-e-Shahadat Order, 1984 (Facts admitted need not be proved ) about?","No fact need be proved in any proceeding which the parties thereto or their agents agree to admit at the hearing, or which before the hearing, they agree to admit by any writing under their hands, or which by any rule or pleading in force at the time they are deemed to have admitted by their pleadings: Provided that the Court may in its discretion, require the facts admitted to be proved otherwise than by such admissions."
"Can you explain Section 114 of Chapter VIII of Qanun-e-Shahadat Order, 1984 (Estoppel )?","When one person has by his declaration, act or omission, intentionally caused or permitted another person to believe a thing to be true and to act upon such belief, neither he nor his representative shall be allowed, in any suit or proceeding between himself and such person or his representative, to deny the truth of that thing. Illustrations A intentionally and falsely leads B to believe that certain land belongs to A, and thereby induces B to buy and pay for it. The land afterwards becomes the property of A, and A seeks to set aside the sale on the ground that, at the time of the sale, he had no title. He must not be allowed to prove his want of title."
"What is stated in Section 115 of Chapter VIII of Qanun-e-Shahadat Order, 1984 (Estoppel of tenant and of licensee of person in possession )?","No tenant of immovable property, or person claiming through such tenant, shall, during the continuance of the tenancy, be permitted to deny that the landlord of such tenant had, at the beginning of the tenancy, a title to such immovable property; and no person who came upon any immovable property by the license of the person in possession thereof shall be permitted to deny that such person had a title to such possession at the time when such license was given."
"Section 116 of Chapter VIII in Qanun-e-Shahadat Order, 1984 (Estoppel of acceptor of bill of exchange bailee or licensee ): What does it say?","No acceptor of a bill of exchange shall be permitted to deny that the drawer had authority to draw such bill or to endorse it; nor shall any bailee or licensee be permitted to deny that his bailor or licenser had at the lime when the bailment or license commenced, authority to make such bailment or grant such license. Explanation 1: The acceptor of a bill of exchange may deny that the bill was really drawn by the person by whom it purports to have been drawn. Explanation 2: If a bailee delivers the goods bailed to a person other than the bailor, he may prove that such person had a right to them as against the bailor."
"What is Section 117 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proof ) about?","(1) Whoever desires any Court to give judgment as to any legal right or liability dependent On the existence of facts which he asserts, must prove that those facts exist. (2) When a person is bound to prove the existence of any fact, it is said that the burden of proof lies on that person. Illustrations (a) A desired a Court to give Judgment that B shall be punished for a crime which A says B has committee. A must prove that B has committed the crime. (b) A desires a Court to give judgment that he is entitled to certain land in the possession of B by reason of facts, which he asserts, and which B denies to be true. A must prove the existence of those facts."
"What is stated in Section 118 of Chapter IX of Qanun-e-Shahadat Order, 1984 (On whom burden of proof lies )?","The burden of proof in a suit or proceeding lies on that person who would fail if no evidence at all were given on either side. Illustrations (a) A sues B for land of which B is in possession, and which, as A asserts was left to A by the will of C, B's father. If no evidence were given on either side, B would be entitled to retain his possession. Therefore the burden of proof is on A. (b) A sues B for money due on a bond. The execution of the bond is admitted, but B says that it was obtained by fraud, which A denies. lf no evidence were given on either aide, A would succeed as the bond is not disputed and the fraud is not proved. Therefore the burden, of proof is on B."
"What is Section 119 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proof as to particular fact ) about?","The burden of proof as to any particular fact lies on that person who wishes the Court to believe in its existence, unless it is provided by any law that the proof of that fact shall lie on any particular person. Illustrations (a) A prosecutes B for theft, and wishes the Court to believe that B admitted the theft, to C. A must prove the admission. (b) B wishes the Court to believe that at the time in question, he was elsewhere. He must prove it."
"What is stated in Section 120 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proving fact to be proved to make evidence admissible)?","of proving any fact necessary to be proved in order to enable any person to give evidence of any other fact is on the person who wishes to give such evidence. Illustrations (a) A wishes to prove a dying declaration by B, A must prove Bs death. (b) A wishes to prove, by secondary evidence, the contents of a lost document. A must prove that the document has been lost."
"Could you describe the contents of Section 121 from Qanun-e-Shahadat Order, 1984 (Burden of proving that case of accused comes within exceptions )?","When a person is accused of any offence the burden of proving the existence of circumstances bringing the case within any of the General Exceptions in the Pakistan Penal Code (Act XLV of 1860), or within any special exception or proviso contained in any other part of the same Code, or in any law defining the offence, is upon him, and the Court shall presume the absence of such circumstances. Illustrations (a) A accused of murder, alleges that by reason of unsoundness of mind, he did not know the nature of the act. The burden of proof is on A. (b) A, accused of murder, alleges that, by grave and sudden provocation, he was deprived of the power of self-control. The burden of proof is on A. (c) Section 325 of the Pakistan Penal Code (Act XLV of 1860) provides that whoever, except in the case provided for by Section 335 voluntarily causes grievous hurt, shall be subject to certain punishments. A is charged with voluntarily causing grievous hurt under Section 325. The burden of proving the circumstances bringing the case under Section 336 lies on A."
"Can you explain Section 122 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proving fact especially within knowledge )?","When any fact is especially within the knowledge of any person, the burden of proving that fact is upon him Illustrations (a) When a person does an act with some intention other than that which the character and circumstances of the act suggest, the burden of proving that intention is upon him. (b) A is charged with travelling on a railway without a ticket. The burden of proving that he had a ticket is on him. ."
"Can you explain Section 123 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proving death of person known to have been alive within thirty years)?","Subject to Article 124, when the question is whether a man is alive or dead and it is shown that he was alive within thirty years, the burden of proving that he is dead is on the person who affirms it."
"Can you explain Section 124 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Burden of proving that person is alive who has not been heard of for seven years)?","When the question is whether a man is alive or dead, and it is proved that he has not been heard of for seven years by those who would naturally have heard of him if he had been alive, the burden of proving that he is alive is shifted to the person who affirms it."
"What does Section 125 of Qanun-e-Shahadat Order, 1984 (Burden of proof as to relationship in the cases of partners, landlord and tenant, principal and agent ) deal with?","When the question is whether persons are partners landlord and tenant, or principal and agent, and it has been shown that they have been acting as such. the burden of proving that they do not stand, or have ceased to stand, to each other in those relationships respectively is on the person who affirms it."
"What does Section 126 of Qanun-e-Shahadat Order, 1984 (Burden of proof as to ownership ) deal with?","When the question is whether any person is owner of anything of which he is shown to be in possession, the burden of proving that he is not the owner is on the person who affirms that he is not the owner."
"What is stated in Section 127 of Chapter IX of Qanun-e-Shahadat Order, 1984 (Proof of good faith in transactions where one party is in relation of active When the question is whether any person is)?","When there is a question as to the good faith of a transaction between parties, one of whom stands to the other in a position of active confidence. The burden of proving the good faith of the transaction is on the party who is in a position of active confidence. Illustrations (a) The good faith of a sale by a client to an advocate is in question in a suit brought by the client. The burden of proving the good faith of the transaction is on the advocate. (b) The good faith of a sale by a son Just come of age to a father is in question in a suit brought by the son. The burden of proving the good faith of the transaction is on the father."
"Could you describe the contents of Section 128 from Qanun-e-Shahadat Order, 1984 (Birth during marriage conclusive proof of legitimacy )?","(1) The fact that any person was born during the continuance of a valid marriage between his mother and any man and not earlier than the expiration of six lunar months from the date of the marriage, or within two years after its dissolution, the mother remaining unmarried, shall be conclusive proof that he is the legitimate child of that man, unless (a) the husband had refused, or refuses, to own the child ; or (b) the child was born after the expiration of six lunar months from the date on which the woman had accepted that the period of iddat had come to an end. (2) Nothing contained in clause (1) shall apply to a non-Muslim if it is inconsistent with his faith."
"What does Section 129 of Qanun-e-Shahadat Order, 1984 (Court may presume existence of certain facts ) deal with?","The Court may presume the existence of any fact which it thinks likely to have happened, regard being had to the common course of natural events, human conduct and public and private business, in their relation to the facts of the particular case. Illustrations The Court may presume (a) that a man who is in possession of stolen goods soon after the theft is either the thief or has received the goods knowing them to be stolen, unless he can account for his possession ; (b) that an accomplice is unworthy of credit, unless he is corroborated in material particulars ; (c) that a bill of exchange, accepted or endorsed, was accepted or endorsed for good consideration ; (d) that a thing or state of things which has been shown to be in existence within a period shorter than that within which such things or states of things usually cease to exist, is still in existence ; (e) that judicial and official acts have been regularly performed ; (f) that the common course of business has been followed in particular cases; (g) that evidence which could be and is not produced would, if produced, be unfavourable to the person who withholds it ; (h) that, if a man refuses to answer a question which he is not compelled to answer by law, the answer, if given, would be unfavourable to him (i) that when a document creating an obligation is in the hands of the obligor, the obligation has been discharged. But the Court shall also have regard to such facts as the following, in considering whether such maxims do or do not apply to the particular case before it; as to illustration (a) : a shopkeeper has in his till marked rupee soon after it was stolen, and cannot account for its possession specifically, but is continually receiving rupees in the course of his business ; as to illustration (a) : A. person of the highest character, is tried for causing a man's death by an act of negligence in arranging certain machinery, B, a person of equally good character, who also took part in the arrangement, describes precisely what was done, and admits and explains the common carelessness of A and himself ; as to illustration (b) : A crime is committed by several persons. A, B and C. three of the criminals, are captured on the shop and kept apart from each other. Each gives an account of the crime implicating D and the accounts corroborate each other in such a manner as to render previous concert highly improbable; as to illustration (c) : A. the drawer of a bill of exchange, was a man of business. B; the acceptor, was a young and ignorant person, completely under A's influence; as to illustration (d) : It is proved that a river ran in a certain course five years ago. But it is known that there have been floods since that time which might change its course ; as to illustration (e): a judicial act, the regularity of which is in question, was performed under exceptional circumstances ; as to illustration (f): the question is, whether a letter was received. It is shown to have been posted, but the usual course of the post was interrupted by disturbances; as to illustration (g) : a man refuses to produce a document which would bear on a contract of small importance on which he is sued. but which might also injure the feelings and reputation of his family; as to illustration (h) : a man refuses to answer a question which he is not compelled by law to answer, but the answer to it might cause loss to him in matters unconnected with the matter in relation to which it is asked ; as to illustration (i) : a bond is in possession of the obligor, but the circumstances of the case are such that he may have stolen it,"
"What is stated in Section 130 of Chapter X of Qanun-e-Shahadat Order, 1984 (Order of production and examination of witnesses )?","The order in which witnesses are produced and examined shall be regulated by the law and practice, for the time being relating to civil and criminal procedure respectively, and, in the absence of any such law, by the discretion of the Court."
"Section 131 of Chapter X in Qanun-e-Shahadat Order, 1984 (Judge to decide as to admissibility of evidence ): What does it say?","(1) When either party proposes to give evidence of any fact, the Judge may ask the party proposing to give the evidence in what manner the alleged fact, if proved, would be relevant, and the Judge shall admit the evidence if he thinks that the fact, if proved, would be relevant and not otherwise. (2) If the fact proposed, to be proved is one of Which evidence is admissible only upon proof of some other fact, such last mentioned fact must be proved before evidence is given of the fact first mentioned unless the party undertakes to give proof of such fact, and the Court is satisfied with such undertaking. (3) if the relevancy of one alleged fact depends upon an other alleged fact being first proved, the Judge may in his discretion, either permit evidence of the first fact to be given before the second fact is proved, or require evidence to be given of the second fact before evidence is given of the first fact. Illustrations (a) It is proposed to prove a statement about a relevant fact by a person alleged to be dead, which statement is relevant under Article 46. The fact that the person is dead must be proved by the person proposing to prove the statement, before evidence is given of the statement (b) It is proposed to prove, by a copy, the contents of a document said to be lost. The fact that the original is lost must be proved by the person proposing to produce the copy before the copy is produced. (c) A is accused of receiving stolen property knowing it to have been stolen. It is proposed to prove that he denied the possession of the property The relevancy of the denial depends on the identity of the property. The Court may in its discretion, either require the property to be identified before the denial of the possession is proved or permit the denial of possession to be proved before the property is identified. (d) It is proposed to prove a fact (A) which is said to have been the cause or effect of a fact-in-issue. There are several intermediate facts (B, C and D), which must be shown to exist before the fact (A) can be regarded as the cause or effect of the fact-in-issue. The Court may either permit A to be proved before B, C or D is proved, or may require proof of B, C and D before permitting proof of A."
"Please explain Section 132 of Chapter X of Qanun-e-Shahadat Order, 1984 (Examination-in-chief, etc. ).","(1) The examination of a witness by the party who calls him shall be called his examination-in-chief. (2) The examination of a witness by the adverse party shall be called his cross- examination. (3) The examination of a witness, subsequent to the cross-examination by the party who called him, shall be called his re-examination."
"Please explain Section 133 of Chapter X of Qanun-e-Shahadat Order, 1984 (Order of examinations ).","(1) Witnesses shall be first examined-in-chief, then (if the adverse party so desires) cross-examined, then (if the party calling him so desires) re- examined. (2) The examination and cross-examination must relate to relevant facts but the cross- examination need not be confined to the facts to which the witness testified on his examination-in-chief. (3) The re-examination shall be directed to the explanation of matters referred to in cross- examination; and if new matter is, by permission of the Court, introduced in re- examination, the adverse party may further cross-examine that matter."
"Could you describe the contents of Section 134 from Qanun-e-Shahadat Order, 1984 (Cross-examination of person called to produce a document )?",A person summoned to produce a document does not become a witness by the mere fact that he produces it and cannot be cross-examined unless and until he is called as a witness.
"Could you describe the contents of Section 135 from Qanun-e-Shahadat Order, 1984 (Witnesses to character )?",Witnesses to character may be cross-examined and re-examined.
"Can you explain Section 136 of Chapter X of Qanun-e-Shahadat Order, 1984 (Leading questions )?",Any question suggesting the answer which the person putting in wishes or expects to receive is called a leading question.
"Can you explain Section 137 of Chapter X of Qanun-e-Shahadat Order, 1984 (When leading questions must not be asked )?","(1) Leading questions must not, if objected to by the adverse party, be asked in an examination-in-chief, or in a re- examination, except with the permission of the Court. (2) The Court shall permit leading questions as to matters which are introductory or undisputed, or which have in its opinion, been already sufficiently proved."
"Can you explain Section 138 of Chapter X of Qanun-e-Shahadat Order, 1984 (When leading questions may be asked )?",Leading questions may be asked in cross-examination.
"What does Section 139 of Qanun-e-Shahadat Order, 1984 (Evidence as to matters in writing ) deal with?","Any witness may be asked, whilst under examination, whether any contract, grant or other disposition of property, as to which he is giving evidence, was not contained in a document, and if he says that it was, or if he is about to make any statement as to the contents of any document, which in the opinion of the Court, ought to be produced, the adverse party may object to such evidence being given until such document is produced, or until facts have been proved which entitle the party who called the witness to give secondary evidence of it. Explanation: A witness may give oral evidence of statements made by other persons about the contents of documents if such statements are in themselves relevant facts. Illustration The question is, whether A assaulted B. C deposes that he heard A say to D""B wrote a letter accusing me of theft, and I will be revenged on him"". This statement is relevant, as showing A's motive for the assault, and evidence may be given of it though no other evidence is given about the letter."
"What does Section 140 of Qanun-e-Shahadat Order, 1984 (Cross-examination as to previous statements in writing ) deal with?","A witness may be cross-examined as to previous statements made by him in writing or reduce into writing, and relevant to matters in question, without such writing being shown to him, or being proved; but, if it is intended to contradict him by the writing, his attention must, before the writing can be proved, be called to those parts of it which are to be used for the purpose of contradicting him."
"Section 141 of Chapter X in Qanun-e-Shahadat Order, 1984 (Questions lawful in cross-examination ): What does it say?","When a witness is cross-examined, he may, in addition to the questions hereinbefore referred to, be asked any questions which tend (1) to test his veracity, (2) to discover who he is and what is his position in life or (3) to shake his credit, by injuring his character, although the answer to such questions might tend directly or indirectly to criminate him or might expose or tend directly or indirectly to expose him to a penalty or forfeiture."
"Give a brief explanation of Section 142 of Chapter X in Qanun-e-Shahadat Order, 1984 (When witness to be compelled to answer).","if any such question relates to a matter relevant to the suit or proceeding, the provisions of Article 15 shall apply thereto."
"Give a brief explanation of Section 143 of Chapter X in Qanun-e-Shahadat Order, 1984 (Court to decide when question shall be asked and when witness compelled to answer).","If any such question relates to a matter not relevant to the suit or proceeding, except in so far as it affects the credit of the witness by injuring his character, the Court shall decide whether or not the witness shall be compelled to answer it, and may if it thinks fit, warn the witness that he is not obliged to answer it. In exercising its discretion, the Court shall have regard to the following considerations: (1) such questions are proper if they are of such a nature that the truth of the imputation conveyed by them would seriously effect the opinion of the Court as to the credibility of the witness on the matter to which he testifies ; (2) such questions are improper if the imputation which they convey relates to matters so remote in time, or of such a character, that the truth of the imputation would not affect, or would affect in slight degree, the opinion of the Court as to the credibility of the witness on the matter to which he testifies; (3) such questions are improper if there is a great disproportion between the importance of the importation made against the witness's character and the importance of his evidence; (4) the Court may, if it sees fit, draw from the witness's refusal to answer, the inference that the answer if given would be unfavourable."
"Can you explain Section 144 of Chapter X of Qanun-e-Shahadat Order, 1984 (Question not to be asked without reasonable grounds )?","No such question as is referred to in Article 143 ought to be asked, unless the person asking it has reasonable grounds for thinking that the imputation, which it conveys, is well founded. Illustrations (a) An advocate is instructed by an attorney that an important witness is a dakait. This is a reasonable ground for asking the witness whether he is a dakiat. (b) An advocate is informed by a person in Court that an important Witness is a dakait. The informant, on being questioned by the advocate, given satisfactory reasons for his statement. This is a reasonable ground for asking the witness whether he is a dakait. (c) A witness, of whom nothing whatever is known, is asked at random whether he is a dakait. There are here no reasonable grounds for the question. (d) A witness, of whom nothing whatever is known, being questioned as to his mode of life and means of living, gives unsatisfactory answers. This may be a reasonable ground for asking him if he is a dakait."
"Please explain Section 145 of Chapter X of Qanun-e-Shahadat Order, 1984 (Procedure of Court in case of question being asked without reasonable).","grounds: If the Court is of opinion that any such question was asked without reasonable grounds, it may, if it was asked by any advocate, report the circumstances of the case to the High Court or other authority to which such advocate is subject in the exercise of his profession."
"Give a brief explanation of Section 146 of Chapter X in Qanun-e-Shahadat Order, 1984 (Indecent and scandalous question ).","The Court may forbid any question or inquiries which it regards as indecent or scandalous, although such questions or inquiries may have some bearing on the questions before the Court unless they relate to facts-in-issue, or to matters necessary to be known in order to determine whether or not the facts-in- issue existed."
"Please explain Section 147 of Chapter X of Qanun-e-Shahadat Order, 1984 (Procedure of Court in cases of defamation libel and slander ).","When a person is prosecuted or used for making or publishing an imputation of a defamatory, libellous or slanderous nature, the Court shall not, before it has recorded its findings on the issues whether such person did make or publish such imputation and whether such imputation is true, permit any question to be put to any witness for the purpose of injuring the character of the person in respect of whom such imputation has or is alleged to have been made or any other person, whether dead or alive, in whom he is interested, except in so far as any such question may be necessary for the purpose of determining the truth of the imputations alleged to have been made or published."
"Could you describe the contents of Section 148 from Qanun-e-Shahadat Order, 1984 (Questions intended to insult or annoy )?","The Court shall forbid any question which appears to it to be intended to insult or annoy, or which though proper in itself, appears to the Court needlessly offensive in form."
"Please explain Section 149 of Chapter X of Qanun-e-Shahadat Order, 1984 (Exclusion of evidence to contract answer to questions testing veracity ).","When a witness has been asked and has answered any question which is relevant to the inquiry only in so far as it tends to shake his credit by injuring his character, no evidence shall be given to contradict him; but if he answers falsely, he may afterwards be charged with giving false evidence. Exception 1: If a witness is asked whether he has been previously convicted of any crime denies it, evidence may be given of his previous conviction. Exception 2: If a witness is asked any question tending to impeach his impartiality and answers it by denying the suggested, he may be contradicted. Illustrations (a) A claim against an underwriter is resisted on the ground of fraud. The claimant is asked whether, in a former transaction, he had not made a fraudulent claim. He denies it. Evidence is offered to show that he did make such a claim. The evidence is inadmissible. (b) A witness is asked whether he was not dismissed from a situation for dishonesty. He denies it. Evidence is offered to show that he was dismissed for dishonesty. The evidence is not admissible. (c) A affirms that on a certain day he saw B at Lahore. A is asked whether he himself was not on that day at Faisalabad. He denies it. Evidence is offered to show that A was on that day at Faisalabad. The evidence is admissible, not as contradicting A on a fact, which affects his credit, but as contradicting the alleged fact that B was seen on the day in question in Lahore. In each of these cases the witness might, if his denial was false, be charged with giving false evidence. (d) A is asked whether his family has not had a blood feud with the family of D against whom he gives evidence. He denies it. He may be contradicted on the ground that the question tends to impeach his impartiality."
"What does Section 150 of Qanun-e-Shahadat Order, 1984 (Question by party to his own witness ) deal with?","The Court may, in its discretion, permit the person who calls a witness to put any questions to him, which might be put in cross- examination by the adverse party."
"What is stated in Section 151 of Chapter X of Qanun-e-Shahadat Order, 1984 (Impeaching credit of witness )?","The credit of a witness may be impeached in the following ways by the adverse party or with the consent of the Court, by the party who calls him: (1) by the evidence of persons who testify that they, from their knowledge of the witness, believe him to be un-worthy of credit; (2) by proof that the witness has been bribed, or has accepted the offer of a bribe, or has received any other corrupt inducement to give his evidence ; (3) by proof of former statements inconsistent with any part of his evidence which is liable to be contradicted ; (4) when a man is prosecuted for rape or an attempt to ravish, it may be shown that the prosecutrix was of generally immoral character. Explanation: A witness declaring another witness to be unworthy of credit may not, upon his examination-in-chief, give reason for his belief, but he may be asked his reasons in cross examination, and the answers which he gives cannot be contradicted, though, if they are false, he may afterwards be charged with giving false evidence. Illustrations (a) A sues B for the price of goods sold and delivered to B. C says that A delivered the goods to B. Evidence is offered to show that, on a previous occasion, he said that he had not delivered the goods to B. The evidence is admissible. (b) A if indicated for the murder of B. C says that B, when dying, declared that A had given B the wound of which he died. Evidence is offered to show that, on a previous occasion, C said that the wound was not given by A or in his presence, The evidence is admissible."
"What does Section 152 of Qanun-e-Shahadat Order, 1984 (Questions lending to corroborate evidence of relevant fact admissible ) deal with?","When a witness whom it is intended to corroborate gives evidence of any relevant fact, he may be questioned as to any other circumstances which he observed at or near to the time or place at which such relevant fact occurred if the Court is of opinion that such circumstances, if proved, would corroborate the testimony of the witness as to the relevant fact which he testifies. Illustrations A, an accomplice, gives an account of robbery in which he took part He describes various incidents unconnected with the robbery which occurred on his way to and from the place where it was committed. Independent evidence of these facts may be given in order to corroborate his evidence as to the robbery itself."
"What is stated in Section 153 of Chapter X of Qanun-e-Shahadat Order, 1984 (Former statements of witness may be proved to corroborate later testimony as to same fact)?","In order to corroborate the testimony of a witness, any former statement made by such witness relating to the same fact at or about the time when the fact took place, or before any authority legally competent to investigate the facts; may be proved."
"Can you explain Section 154 of Chapter X of Qanun-e-Shahadat Order, 1984 (What matters may be proved in connection with proved statement relevant under Article 46 or 47)?","Whenever any statement, relevant under Article 46 or 47, is proved, all matters may be proved either in order to contradict or corroborate it, or in order to impeach or confirm the credit of the person by whom it was made, which might have been proved if that person had been called as a witness and had denied upon cross- examination the truth of the matter suggested."
"Could you describe the contents of Section 155 from Qanun-e-Shahadat Order, 1984 (Refreshing memory )?","(1) A witness may, while under examination, fresh his memory by referring to any writing made by himself at the time of the transaction concerning which he is questioned, or so soon afterwards that the Court considers it likely that the transaction was at that time fresh in his memory. (2) The witness may also refer to any such writing made by any other person, and read by the witness within the time aforesaid, if when he read if he knew it to be correct. (3) Whenever a witness may refresh his memory by reference to any document, he may with the permission of the Court, refer to a copy of such document: Provided the Court be satisfied that there is sufficient reason for the non-production of the original. (4) An expert may refresh his memory by reference to professional treaties."
"Give a brief explanation of Section 156 of Chapter X in Qanun-e-Shahadat Order, 1984 (Testimony to facts stated in document mentioned in Article 155 ).","A witness may also testify to facts mentioned in any such document as is mentioned in Article 155, although he has no specific recollection of the facts themselves, if he is sure that the facts were correctly recorded in the document. Illustrations A book-keeper may testify to facts recorded by him in books regularly keep in the course of business, if he knows that the books were correctly kept, although he has forgotten the particular transactions entered."
"Section 157 of Chapter X in Qanun-e-Shahadat Order, 1984 (Right of adverse party as to writing used to refresh memory ): What does it say?","Any writing referred to under the provisions of the two last proceeding Articles must be produced and shown to the adverse party if he requires it, such party may, if he pleases, cross-examine the witness thereupon."
"What is Section 158 of Chapter X of Qanun-e-Shahadat Order, 1984 (Production of documents ) about?","(1) A witness summoned to produce a document shall, if it is in his possession or power, bring it to Court, notwithstanding any objection which there may be to its production or to in its admissibility. The validity of any objection shall be decided on by the Court (2) The Court, if it sees fit may inspect the document unless it refers to matters of State, or take other evidence to enable it to determine on its admissibility. (3) If for such a purpose it is necessary to cause any document to be translated, the Court may, if it thinks fit, direct the translator to keep the contents secret, unless the document is to be given in evidence; and if the translator disobeys such direction, he shall be held to have committed an offence under Section 166 of the Pakistan Penal Code (Act XLV of 1860)."
"What is stated in Section 159 of Chapter X of Qanun-e-Shahadat Order, 1984 (Giving, as evidence, of document called for and produced on notice )?","When a party calls for a document which he has given the other party notice to produce and such document is produced and inspected by the party calling for its production, he is bound to give it as evidence if the party producing it requires him to do so."
"What is Section 160 of Chapter X of Qanun-e-Shahadat Order, 1984 (Using, as evidence, of document production of which was refused on notice) about?","When a party refuses to produce a document which he has had notice to produce; he cannot afterwards use the document as evidence without the consent of the other party or the order of the Court. Illustrations A sues C on an agreement and gives B, notice to produce it. At the trial A calls for the document and B refuses to produce it. A gives secondary evidence of its contents, B seeks to produce the document itself to contradict the secondary evidence given by A, or in order to show that the agreement is not stamped. He cannot do so."
"What is stated in Section 161 of Chapter X of Qanun-e-Shahadat Order, 1984 (Judge's power to put questions or order production )?","The Judge may in order to discover or to obtain proper proof of relevant facts, ask any question he places, in any form, at any time, of any witness, or of the parties about any fact relevant or irrelevant; and may order the production of any document or thing; and neither the parties nor their agents shall be entitled to make any objection to any such question or order, nor, without the leave of the Court, to cross-examine any witness upon any answer given in reply to any such question: Provided that the Judgment must be based upon facts declared by this Order to be relevant, and duly proved: Provided also that this Article shall not authorise any Judge to compel any witness to answer any question or to produce any document which such witness would be entitled to refuse to answer or produce under Articles 4 to 14, both inclusive, if the question were asked or the document were called for by the adverse party; nor shall the judge ask any question which it would be improper for any other person to ask under Article 143 or 144; nor shall he dispense with primary evidence of any document, except in the cases hereinbefore excepted."
"Section 162 of Chapter XI in Qanun-e-Shahadat Order, 1984 (No new trial for improper admission or rejection of evidence ): What does it say?","The improper admission or rejection of evidence shall not be ground of itself for a new trial or reversal of any decision in any case, if it shall appear to the Court before which such objection is raised that, independent of the evidence objected to and admitted, there was sufficient evidence to justify the decision, or that, if the rejected evidence had been received, it ought not to have varied the decision."
"What is Section 163 of Chapter XII of Qanun-e-Shahadat Order, 1984 (Acceptance or denial of claim on oath ) about?","(1) When the plaintiff takes oath in support of his claim, the Court shall, on the application of the plaintiff, call upon the defendant to deny the claim on oath. (2) The Court may pass such orders as to costs and other matters as it may deem fit. (3) Nothing in this Article applies to laws relating to the enforcement of Hudood or other criminal cases."
"Give a brief explanation of Section 164 of Chapter XIII in Qanun-e-Shahadat Order, 1984 (Production of evidence that has become available because of modern devices, etc).","In such cases as the Court may consider appropriate, the Court may allow to be produced any evidence that may have become available because of modern devices or techniques."
"Give a brief explanation of Section 165 of Chapter XIII in Qanun-e-Shahadat Order, 1984 (Order to override other laws ).",The provisions of this Order shall have effect notwithstanding anything contained in any other law for the time being in force.
"Can you explain Section 166 of Chapter XIII of Qanun-e-Shahadat Order, 1984 (Repeal )?","The Evidence Act, 1872 (I of 1872), is hereby repealed."
"What is Section 1 of Chapter I of Transfer of Property Act (This Act may be called the Transfer of Property Act, 1882.) about?","Commencement: It shall come into force on the first day of July, 1882. 2[* * * * * * * *] 3[ 4[This] Act or any Part thereof may by notification in the official Gazette, be extended to the whole or any part of 5[a Province] 6[by the Provincial Government]. 7[And any 8[Provincial Government] may, 9[* * *] from time to time, by notification in the 10[official Gazette], exempt either retrospectively and part of the territories administered by such 11[Provincial Government] from all or any of the following provisions, namely:- Section 54, paragraphs 2 and 3, 59, 107 and 123.] 12[Notwithstanding anything in the foregoing part of this section, section 54, paragraphs 2 and 3, 59, 107 and 123 shall not extend or be extended to any district or tract of country for the time being excluded from the operation of the Registration Act, 13[1908], under the power conferred by the first section of that Act or otherwise.]"
"What does Section 2 of Transfer of Property Act (Repeal of Acts. Saving of certain enactments, incidents, rights, liabilities,) deal with?","etc. In the territories to which this Act extends for the time being the enactments specified in the Schedule hereto annexed shall be repealed to the extent therein mentioned. But nothing herein contained shall be deemed to affect:- (a) the provisions of any enactment not hereby expressly repealed: (b) any terms or incidents of any contract or Constitution of property which are consistent with the provisions of this Act, and are allowed by the law for the time being in force; (c) any right or liability arising out of a legal relation constituted before this Act comes into force, or any relief in respect of any such right or liability; or (d) save as provided by section 57 and Chapter IV of this Act, any transfer by operation of law or by, or in execution of, a decree or order of a Court of competent jurisdiction; and nothing in the Second Chapter of this Act shall be deemed to affect any rule of 14* [Muslim] ** law."
